Crash Year,Crash Month,Crash Day,Time of Day,City or Township,Crash: Intersection,Crash: Hit-and-Run,Lighting Conditions,Highway Class,Highway Number,Speed Limit at Crash Site,Weather Conditions (2016+),Worst Injury in Crash,Traffic Control,Trafficway,Crash Type
2017,August,19,10:00 PM - 11:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dusk,Interstate route,M-75\I-75\I-75BL\I-75BS,35,Clear,No injury (O),None,Not physically divided (two-way trafficway),Other
2017,August,10,3:00 AM - 4:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Unknown,"County road, city street, or unknown",Local road or unknown,30,Unknown,Suspected serious injury (A),Signal,"Divided highway, median strip, with traffic barrier",Single motor vehicle
2017,September,18,8:00 PM - 9:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,35,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,October,20,3:00 PM - 4:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Michigan route,M-3,35,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other
2017,November,8,5:00 PM - 6:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,Michigan route,M-85,35,Clear,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,February,20,2:00 PM - 3:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other
2017,April,1,12:00 midnight - 1:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-3,25,Cloudy,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,July,16,3:00 PM - 4:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other
2017,March,6,9:00 PM - 10:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Rain,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,December,6,4:00 PM - 5:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,Michigan route,M-102\US-102,40,Clear,Possible injury (C),Signal,"Divided highway, median strip, without traffic barrier",Other
2017,March,20,8:00 PM - 9:00 PM,Wayne County: Westland,Not intersection crash,Not hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,40,Rain,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,July,29,11:00 AM - 12:00 noon,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other
2017,July,29,5:00 PM - 6:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,Michigan route,Local road or unknown,25,Clear,Possible injury (C),None,One-way trafficway,Single motor vehicle
2017,December,31,1:00 PM - 2:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Clear,No injury (O),None,Not physically divided (two-way trafficway),Other
2017,August,10,12:00 noon - 1:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected serious injury (A),None,"Two-way, with continuous left-turn lane",Single motor vehicle
2017,October,3,5:00 PM - 6:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other
2017,September,26,11:00 AM - 12:00 noon,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),Stop sign,Not physically divided (two-way trafficway),Other
2017,February,18,6:00 PM - 7:00 PM,Wayne County: Taylor,Not intersection crash,Not hit-and-run,Dark lighted,U.S. route,M-24\US-24\US-24BR,45,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Other
2017,September,26,3:00 PM - 4:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),Stop sign,One-way trafficway,Single motor vehicle
2017,June,8,5:00 PM - 6:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Fatal injury (K),None,Not physically divided (two-way trafficway),Other
2017,January,9,7:00 AM - 8:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Cloudy,No injury (O),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2017,October,5,10:00 AM - 11:00 AM,Wayne County: Grosse Pointe,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2017,April,11,10:00 PM - 11:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-102\US-102,40,Clear,Fatal injury (K),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2017,October,14,11:00 PM - 12:00 midnight,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Michigan route,M-53,30,Rain,Fatal injury (K),Signal,"Divided highway, median strip, with traffic barrier",Single motor vehicle
2017,November,17,8:00 PM - 9:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Clear,No injury (O),None,Not physically divided (two-way trafficway),Other
2017,January,1,6:00 PM - 7:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-3,35,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Unknown
2017,September,23,1:00 AM - 2:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,30,Clear,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,January,1,10:00 PM - 11:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Clear,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,October,26,3:00 PM - 4:00 PM,Wayne County: Redford Twp.,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,45,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,January,10,7:00 AM - 8:00 AM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,Michigan route,M-1,30,Snow,No injury (O),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2017,November,16,7:00 PM - 8:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dawn,Michigan route,M-53,35,Clear,Suspected serious injury (A),None,"Divided highway, median strip, without traffic barrier",Single motor vehicle
2017,February,11,7:00 PM - 8:00 PM,Wayne County: Dearborn,Intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Rain,Fatal injury (K),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,August,14,9:00 PM - 10:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other
2017,July,14,3:00 PM - 4:00 PM,Wayne County: Ecorse,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Clear,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,August,15,6:00 PM - 7:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,Michigan route,M-102\US-102,25,Cloudy,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle
2017,January,10,9:00 PM - 10:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,35,Rain,Suspected minor injury (B),None,"Divided highway, median strip, without traffic barrier",Rear-end
2017,July,18,7:00 PM - 8:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Unknown
2017,January,20,7:00 AM - 8:00 AM,Wayne County: Redford Twp.,Intersection crash,Not hit-and-run,Dawn,"County road, city street, or unknown",Local road or unknown,40,Rain,Possible injury (C),Signal,"Divided highway, median strip, without traffic barrier",Single motor vehicle
2017,June,15,3:00 PM - 4:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dawn,Interstate route,M-94\I-94\I-94BL\I-94BR,55,Rain,Possible injury (C),None,"Divided highway, median strip, with traffic barrier",Other
2017,November,1,5:00 AM - 6:00 AM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,30,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,December,4,5:00 PM - 6:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,30,Clear,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,March,29,6:00 PM - 7:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,25,Unknown,No injury (O),Stop sign,Not physically divided (two-way trafficway),Other
2017,May,21,3:00 AM - 4:00 AM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,Michigan route,M-85,35,Rain,Fatal injury (K),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,October,11,3:00 PM - 4:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Rain,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2017,January,12,1:00 PM - 2:00 PM,Wayne County: Redford Twp.,Intersection crash,Hit-and-run,Daylight,U.S. route,M-24\US-24\US-24BR,45,Clear,No injury (O),Signal,"Divided highway, median strip, without traffic barrier",Single motor vehicle
2017,March,5,7:00 PM - 8:00 PM,Wayne County: Lincoln Park,Not intersection crash,Not hit-and-run,Dark lighted,Michigan route,M-85,10,Clear,Possible injury (C),Stop sign,"Divided highway, median strip, without traffic barrier",Single motor vehicle
2017,November,20,6:00 PM - 7:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,30,Clear,Possible injury (C),None,Not physically divided (two-way trafficway),Other
2017,January,16,10:00 AM - 11:00 AM,Wayne County: Detroit,Intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,Uncoded & errors,Cloudy,No injury (O),None,"Divided highway, median strip, without traffic barrier",Other
2017,November,27,1:00 PM - 2:00 PM,Wayne County: Romulus,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,One-way trafficway,Single motor vehicle
2017,August,22,10:00 PM - 11:00 PM,Wayne County: Detroit,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,30,Clear,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,September,26,7:00 AM - 8:00 AM,Wayne County: Hamtramck,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,No injury (O),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2017,November,25,8:00 PM - 9:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Clear,Possible injury (C),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle
2017,January,3,7:00 AM - 8:00 AM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Dawn,"County road, city street, or unknown",Local road or unknown,30,Rain,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other
2017,September,15,9:00 PM - 10:00 PM,Wayne County: Detroit,Not intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,November,29,8:00 AM - 9:00 AM,Wayne County: Hamtramck,Not intersection crash,Hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,July,25,4:00 PM - 5:00 PM,Wayne County: Detroit,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,35,Clear,Suspected minor injury (B),None,"Divided highway, median strip, without traffic barrier",Single motor vehicle
2017,May,12,4:00 PM - 5:00 PM,Wayne County: Canton Twp.,Intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,No injury (O),None,Not physically divided (two-way trafficway),Single motor vehicle
2017,October,26,7:00 AM - 8:00 AM,Wayne County: Dearborn,Intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,35,Clear,Possible injury (C),Signal,Not physically divided (two-way trafficway),Single motor vehicle
2017,April,25,9:00 PM - 10:00 PM,Wayne County: Dearborn,Not intersection crash,Not hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,45,Clear,Suspected minor injury (B),Stop sign,"Two-way, with continuous left-turn lane",Other
2017,November,15,10:00 PM - 11:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark lighted,"County road, city street, or unknown",Local road or unknown,30,Rain,Possible injury (C),Signal,Not physically divided (two-way trafficway),Other
2017,February,27,8:00 AM - 9:00 AM,Wayne County: Redford Twp.,Not intersection crash,Not hit-and-run,Daylight,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected minor injury (B),Stop sign,Not physically divided (two-way trafficway),Single motor vehicle
2017,January,1,10:00 PM - 11:00 PM,Wayne County: Detroit,Intersection crash,Hit-and-run,Dark unlighted,"County road, city street, or unknown",Local road or unknown,25,Clear,Suspected serious injury (A),None,Not physically divided (two-way trafficway),Single motor vehicle
